species,p_raw,clr_fc,mean_UC,mean_H,p_adj,-log10p,significant,direction
Streptococcus parasanguinis,1.097208531421715e-10,0.5384257531116604,-0.9658088759718407,-1.5042346290835011,6.374259087307107e-10,9.195570288226415,False,ns
Eggerthella lenta,2.155211806880302e-10,0.5018306834594863,-1.5412252476561652,-2.0430559311156515,1.1951629110881674e-09,8.922572892569903,False,ns
Clostridium innocuum,6.877599172019617e-10,0.3351862897647242,-1.5363101091193663,-1.8714963988840905,3.648117821679971e-09,8.437931143896485,False,ns
Flavonifractor plautii,8.851156445269758e-10,1.2013749615440394,3.212344766857911,2.0109698053138714,4.499337859678794e-09,8.346851394012706,True,Higher in UC
Streptococcus salivarius,9.652862425222688e-10,0.568237356121683,-0.9822151040874249,-1.5504524602091079,4.710596863508671e-09,8.326924061426203,False,ns
Clostridium bolteae CAG 59,1.3810441580986076e-09,0.7918201604504869,-1.0204772309637593,-1.8122973914142462,6.480284126462698e-09,8.188405952177282,False,ns
Haemophilus sp HMSC71H05,1.6864479090642766e-09,0.6322126409382256,-1.086309624779411,-1.7185222657176367,7.620246107623768e-09,8.118031002222478,False,ns
Clostridium clostridioforme,2.426924135022981e-09,0.30503905395350284,-1.280611080175189,-1.585650134128692,1.057445515974299e-08,7.975742000048702,False,ns
Bacteroides xylanisolvens,3.5031338751731017e-09,-1.682279898541873,0.4731922392667666,2.1554721378086397,1.473732181969374e-08,7.8315814326647315,True,Lower in UC
Clostridium aldenense,8.314636541099673e-09,0.4537700834961498,-1.6149363733852449,-2.0687064568813947,3.381285526713867e-08,7.470918154451466,False,ns
Holdemania filiformis,8.817491998913816e-09,0.49587074550161425,-0.9350702895525329,-1.4309410350541472,3.4701097544112434e-08,7.459656788903258,False,ns
Clostridium bolteae,9.769517704856602e-09,0.722269202812682,-0.10740443047771234,-0.8296736332903943,3.724628624976579e-08,7.428917023362366,False,ns
Bacteroides ovatus,1.5393218029896783e-08,1.1068775075778792,4.3624326374296585,3.2555551298517793,5.6908260595375984e-08,7.244824688427425,True,Higher in UC
Intestinimonas butyriciproducens,3.3887710236520576e-08,0.7674978179784232,-0.42061470598184514,-1.1881125239602683,1.21597077907515e-07,6.915076861443958,False,ns
Acidaminococcus intestini,3.964197831147471e-08,0.4078508935426455,-1.3424373421469413,-1.7502882356895868,1.381806101142833e-07,6.859552894090383,False,ns
Anaerotignum lactatifermentans,1.5971905650487718e-07,0.653792062036605,-0.8389068679883457,-1.4926989300249507,5.412701359331949e-07,6.2665859340344,False,ns
