species,p_raw,clr_fc,mean_CD,mean_UC,p_adj,-log10p,significant,direction
Eggerthella lenta,0.03487992073613269,0.18905334909096405,-1.3521718985652011,-1.5412252476561652,0.09034945699082145,1.0440744532480248,False,ns
Collinsella stercoris,0.03554732734065106,-0.18637658679399616,-1.56308294248416,-1.3767063556901638,0.09034945699082145,1.0440744532480248,False,ns
Parabacteroides distasonis,0.03665756212116275,-0.6388320313146076,3.412129393104869,4.0509614244194765,0.09126984854656849,1.0396726701386871,False,ns
Lactobacillus rogosae,0.03741401812640828,0.23134657032375205,-1.2707443313540907,-1.5020909016778428,0.0912902042284362,1.039575821346054,False,ns
Clostridium lavalense,0.04945203342444107,0.24018850508601508,-0.8785379747669577,-1.1187264798529728,0.11829702113297667,0.9270261913128894,False,ns
Oscillibacter sp CAG 241,0.050866755240686144,-0.3600592492814767,-1.2582976199343603,-0.8982383706528836,0.11934123344930211,0.9232094778254439,False,ns
Clostridium innocuum,0.05191680333578653,0.23328914780018994,-1.3030209613191763,-1.5363101091193663,0.11950660390501805,0.922608095048368,False,ns
Bacteroides eggerthii,0.05509277650162272,-0.8032738309616924,-1.3548273408303249,-0.5515535098686325,0.12446886542959207,0.9049392691555761,False,ns
Eubacterium siraeum,0.0619622093266584,0.36245315138698464,0.1348246797356811,-0.22762847165130354,0.13473562320327745,0.8705175645203607,False,ns
Bifidobacterium longum,0.06276400679199907,-0.26065377069101514,0.6070231694324957,0.8676769401235108,0.13473562320327745,0.8705175645203607,False,ns
Collinsella aerofaciens,0.06295025018513782,-0.36195620041888527,0.3828485914732295,0.7448047918921148,0.13473562320327745,0.8705175645203607,False,ns
Eisenbergiella massiliensis,0.06486978280428325,0.1390471265445123,-0.37693607048390915,-0.5159831970284214,0.1364502327952165,0.8650257190516757,False,ns
Bacteroides intestinalis,0.07261624521922706,0.1511545775086065,-1.2175998873884524,-1.3687544648970589,0.15015562570755428,0.8234583919499917,False,ns
Clostridium leptum,0.07872317346027978,-0.22964327383356495,-0.43853598273044453,-0.20889270889687958,0.15796974547936732,0.8014260815868162,False,ns
Bacteroides faecis,0.07898487273968366,0.2828875565323821,-0.3415455820800943,-0.6244331386124764,0.15796974547936732,0.8014260815868162,False,ns
Clostridium spiroforme,0.09295571443695076,0.054810410059519254,-1.3545779513868559,-1.4093883614463751,0.1829128574404515,0.7377557657145037,False,ns
Ruminococcus bromii,0.09445996931098133,0.19206079318825686,-0.3967532772640555,-0.5888140704523124,0.18292248025301144,0.7377329186356925,False,ns
Dorea longicatena,0.09739392985994567,-0.29223575135488833,1.4215891822659592,1.7138249336208475,0.18565717879552143,0.73128825327324,False,ns
Parabacteroides goldsteinii,0.10099208844822646,-0.34251362743463676,-1.6657732391456694,-1.3232596117110327,0.18955438139513273,0.7222661727583168,False,ns
Veillonella atypica,0.11498103669701586,0.1932615992048322,-0.7736027303074223,-0.9668643295122545,0.21254070419751414,0.6725578848347459,False,ns
Firmicutes bacterium CAG 94,0.12404744334735296,-0.16024814094937057,-1.2210813416509925,-1.060833200701622,0.22587743415488148,0.6461271542568578,False,ns
Gemmiger formicilis,0.14535424780884568,0.10086412388483668,-1.1983359492832517,-1.2992000731680884,0.2607826210688114,0.5837213539884365,False,ns
Eubacterium rectale,0.15441904076623386,-0.37697279639189407,3.107542113638936,3.48451491003083,0.26610469532315684,0.5749474624085977,False,ns
Veillonella sp T11011 6,0.1515804361297512,0.1257782660795923,-1.4618047048060523,-1.5875829708856446,0.26610469532315684,0.5749474624085977,False,ns
Ruminococcaceae bacterium D16,0.15486420793396832,0.06643906603048455,-1.404690459797977,-1.4711295258284616,0.26610469532315684,0.5749474624085977,False,ns
Clostridium sp CAG 58,0.16820205093189944,-0.20819082660850408,0.03405779064909515,0.24224861725759922,0.28110479744783196,0.5511317424845494,False,ns
Paraprevotella xylaniphila,0.16644712257712235,0.09457593088371108,-1.190645133091068,-1.285221063974779,0.28110479744783196,0.5511317424845494,False,ns
Fusicatenibacter saccharivorans,0.1714096149171378,0.2181912710767333,2.021929734253663,1.8037384631769295,0.28259422999852446,0.5488367098101202,False,ns
Eubacterium sp CAG 38,0.17634160354584316,-0.42971112023519453,-0.01602958939284303,0.4136815308423515,0.28684900843457156,0.5423466470265752,False,ns
